,City,Country,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
227,Saldanha,PT,41.42,41.42,60.69,91,5.35,0
228,Shahr-e Babak,IR,30.12,30.12,69.33,21,2.48,0
229,Trairi,BR,-3.28,-3.28,80.85,99,20.56,8
230,Saint George,GR,39.45,39.45,66.2,72,3.89,20
231,Vieux-Habitants,GP,16.06,16.06,75.2,94,8.05,80
232,Tuktoyaktuk,CA,69.44,69.44,51.8,57,12.75,75
233,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
234,Eureka,US,40.8,40.8,61.14,82,10.29,90
235,Petatlan,MX,17.52,17.52,84.2,70,8.3,40
236,Dikson,RU,73.51,73.51,34.32,90,16.58,0
237,Cam Ranh,VN,11.92,11.92,86.43,78,3.38,20
238,De Aar,ZA,-30.65,-30.65,28.47,67,3.38,0
239,Vao,EE,59.1,59.1,54.66,95,13.06,76
240,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
241,Mahebourg,MU,-20.41,-20.41,69.8,94,2.24,40
242,Alta Floresta,BR,-9.87,-9.87,74.37,71,3.04,44
243,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
244,Arman,RU,59.7,59.7,60.8,63,4.47,40
245,Khatanga,RU,71.98,71.98,58.35,91,20.45,100
246,Albany,US,42.65,42.65,62.19,45,10.29,20
247,Kapaa,US,22.08,22.08,83.19,66,12.75,40
248,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
249,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
250,Mayor Pablo Lagerenza,PY,-19.93,-19.93,73.2,57,4.23,76
251,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
252,Haines Junction,CA,60.75,60.75,62.49,41,4.12,0
253,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
254,Lebu,ET,8.96,8.96,41.79,79,2.59,0
255,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
256,Petropavlovsk-Kamchatskiy,RU,53.05,53.05,48.2,81,6.71,75
257,Dikson,RU,73.51,73.51,34.32,90,16.58,0
258,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
259,Emmett,US,43.87,43.87,80.22,34,6.93,1
260,Chokurdakh,RU,70.62,70.62,57.9,88,9.86,0
261,Shingu,JP,33.72,33.72,78.8,69,3.36,75
262,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
263,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
264,Turia,RU,50.89,50.89,65.46,67,6.02,0
265,Nizhnevartovsk,RU,60.93,60.93,59.0,87,15.66,40
266,Aklavik,CA,68.22,68.22,69.8,43,14.99,40
267,Panguipulli,CL,-39.64,-39.64,46.4,100,3.36,90
268,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
269,Leningradskiy,RU,69.38,69.38,33.78,92,14.18,0
270,Yuzhne,UA,48.22,48.22,64.4,59,4.47,0
271,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
272,Mana,RS,43.52,43.52,59.0,100,1.12,0
273,Kautokeino,NO,69.01,69.01,45.57,100,3.0,68
274,Lebu,ET,8.96,8.96,41.79,79,2.59,0
275,Owando,CG,-0.49,-0.49,70.32,88,3.11,8
276,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
277,Hohhot,CN,40.81,40.81,71.6,64,4.47,20
278,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
279,Iqaluit,CA,63.75,63.75,33.8,98,12.75,90
280,Makakilo City,US,21.35,21.35,85.53,48,10.29,40
281,Panzhihua,CN,26.59,26.59,71.85,87,3.22,48
282,Hasaki,JP,35.73,35.73,78.12,69,8.05,75
283,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
284,Kodiak,US,39.95,39.95,68.0,94,5.82,75
285,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
286,Nemuro,JP,43.32,43.32,68.0,72,3.36,75
287,Longyearbyen,NO,78.22,78.22,41.0,75,10.29,20
288,Albany,US,42.65,42.65,62.19,45,10.29,20
289,Albany,US,42.65,42.65,62.19,45,10.29,20
290,Pringsewu,ID,-5.36,-5.36,81.57,83,3.6,64
291,Qarqin,AF,37.41,37.41,77.16,31,5.39,0
292,Fairbanks,US,64.84,64.84,82.92,23,16.11,20
293,Hithadhoo,MV,-0.6,-0.6,82.83,100,8.75,48
294,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
295,Nome,US,30.04,30.04,79.66,83,4.7,1
296,Vaini,IN,15.34,15.34,69.87,99,3.56,92
297,Hilo,US,19.71,19.71,73.08,65,9.17,20
298,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
299,Qaanaaq,GL,77.48,77.48,29.64,100,4.56,56
300,Barrow,AR,-38.31,-38.31,35.22,61,5.73,0
301,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
302,Grand Forks,US,47.91,47.91,77.49,57,3.36,1
303,Lebu,ET,8.96,8.96,41.79,79,2.59,0
304,Upernavik,GL,72.79,72.79,33.42,92,2.21,88
305,Dikson,RU,73.51,73.51,34.32,90,16.58,0
306,La Ronge,CA,55.1,55.1,77.0,53,4.7,90
307,Nikolskoye,RU,59.7,59.7,64.4,77,8.95,0
308,Rawson,AR,-43.3,-43.3,42.42,51,7.4,44
309,Lebu,ET,8.96,8.96,41.79,79,2.59,0
310,Avarua,CK,-21.21,-21.21,78.8,83,5.82,40
311,Cap Malheureux,MU,-19.98,-19.98,69.8,94,2.24,40
312,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
313,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
314,Xucheng,CN,33.0,33.0,78.69,71,8.93,0
315,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
316,Khorixas,NA,-20.37,-20.37,44.04,60,3.78,0
317,Khandbari,NP,27.38,27.38,47.37,64,1.77,32
318,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
319,Vaini,IN,15.34,15.34,69.87,99,3.56,92
320,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
321,Kampong Thum,KH,12.71,12.71,85.8,86,4.05,48
322,Richards Bay,ZA,-28.77,-28.77,57.36,95,4.34,0
323,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
324,Nikolskoye,RU,59.7,59.7,64.4,77,8.95,0
325,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
326,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
327,Clyde River,CA,70.47,70.47,35.6,100,11.41,90
328,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
329,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
330,Vaini,IN,15.34,15.34,69.87,99,3.56,92
331,Cidreira,BR,-30.17,-30.17,59.97,98,10.16,100
332,Deputatskiy,RU,69.3,69.3,72.75,24,3.6,88
333,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
334,Bedi,NG,13.39,13.39,75.72,85,10.6,92
335,Husavik,CA,50.56,50.56,78.96,43,5.06,44
336,Poum,MK,41.28,41.28,52.32,97,1.81,0
337,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
338,Gorom-Gorom,BF,14.45,14.45,81.57,55,11.32,0
339,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
340,College,US,64.86,64.86,80.6,30,14.99,75
341,Chokurdakh,RU,70.62,70.62,57.9,88,9.86,0
342,Saint-Joseph,FR,43.56,43.56,71.06,88,4.7,0
343,Kavieng,PG,-2.57,-2.57,84.99,100,4.27,8
344,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
345,Kjollefjord,NO,70.95,70.95,44.6,93,5.82,90
346,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
347,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
348,Egvekinot,RU,66.32,66.32,57.36,33,3.56,0
349,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
350,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
351,Vaini,IN,15.34,15.34,69.87,99,3.56,92
352,East London,ZA,-33.02,-33.02,65.19,100,16.35,0
353,Albany,US,42.65,42.65,62.19,45,10.29,20
354,Smila,UA,49.23,49.23,65.82,76,4.12,12
355,Luanda,AO,-8.83,-8.83,68.34,100,5.01,12
356,Dikson,RU,73.51,73.51,34.32,90,16.58,0
357,Hithadhoo,MV,-0.6,-0.6,82.83,100,8.75,48
358,Codrington,AU,-28.95,-28.95,63.93,71,5.01,0
359,Amzya,RU,56.24,56.24,55.65,97,10.27,92
360,Klaksvik,FO,62.23,62.23,48.2,100,23.04,88
361,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
362,Kapaa,US,22.08,22.08,83.19,66,12.75,40
363,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
364,Qaanaaq,GL,77.48,77.48,29.64,100,4.56,56
365,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
366,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
367,Hilo,US,19.71,19.71,73.08,65,9.17,20
368,Contamana,PE,-7.35,-7.35,73.29,85,1.77,0
369,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
370,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
371,Necochea,AR,-38.55,-38.55,44.49,66,10.16,0
372,Spalding,GB,52.79,52.79,47.97,81,11.41,0
373,Kapaa,US,22.08,22.08,83.19,66,12.75,40
374,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
375,Hilo,US,19.71,19.71,73.08,65,9.17,20
376,Dwarka,IN,28.58,28.58,95.0,44,5.82,20
377,Hobyo,SO,5.35,5.35,75.09,78,20.15,20
378,Bathsheba,BB,13.22,13.22,75.2,94,14.99,40
379,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
380,Birao,CF,10.3,10.3,70.59,93,2.89,20
381,Batagay-Alyta,RU,67.8,67.8,71.04,45,3.0,0
382,Ayacucho,PE,-13.16,-13.16,22.71,76,2.48,0
383,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
384,Havelock,US,34.88,34.88,79.74,94,5.82,90
385,Dudinka,RU,69.41,69.41,62.94,89,13.06,8
386,Pingdu,CN,36.79,36.79,86.0,40,4.47,0
387,Vallenar,CL,-28.58,-28.58,46.29,67,2.71,0
388,Port Hardy,CA,50.7,50.7,59.0,77,8.05,75
389,Nandu,CN,31.44,31.44,71.6,94,8.95,40
390,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
391,Chapais,CA,49.78,49.78,53.6,54,3.36,90
392,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
393,Vieques,PR,18.43,18.43,79.72,83,6.93,40
394,Bondo,CD,3.81,3.81,68.79,100,2.1,92
395,Provideniya,RU,64.42,64.42,48.2,81,15.66,90
396,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
397,Souillac,FR,45.6,45.6,58.01,62,14.99,0
398,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
399,Northam,GB,51.04,51.04,46.4,75,4.7,0
400,Pangnirtung,CA,66.15,66.15,30.81,90,3.78,36
401,Ancud,CL,-41.87,-41.87,48.72,97,10.6,92
402,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
403,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
404,Vaini,IN,15.34,15.34,69.87,99,3.56,92
405,Hilo,US,19.71,19.71,73.08,65,9.17,20
406,Plainview,US,34.18,34.18,89.13,39,9.17,1
407,Chitipa,MW,-9.7,-9.7,59.97,83,11.16,0
408,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
409,Pevek,RU,69.7,69.7,49.62,70,1.48,0
410,Alofi,NU,-19.06,-19.06,82.4,69,8.05,40
411,Santa Vitoria,BR,-7.82,-7.82,73.11,92,2.37,12
412,Kaka,TM,37.35,37.35,72.75,44,2.71,0
413,Hermanus,ZA,-34.42,-34.42,53.31,92,6.13,48
414,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
415,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
416,Mogadishu,SO,2.04,2.04,77.88,100,19.15,68
417,Ca Mau,VN,9.18,9.18,87.87,85,4.61,20
418,Upernavik,GL,72.79,72.79,33.42,92,2.21,88
419,Cam Ranh,VN,11.92,11.92,86.43,78,3.38,20
420,Tessalit,ML,20.2,20.2,79.68,15,10.42,0
421,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
422,Torbay,CA,47.66,47.66,55.4,76,13.87,40
423,Cap Malheureux,MU,-19.98,-19.98,69.8,94,2.24,40
424,Chuy,UY,-33.69,-33.69,45.21,90,14.34,0
425,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
426,Albany,US,42.65,42.65,62.19,45,10.29,20
427,Mahebourg,MU,-20.41,-20.41,69.8,94,2.24,40
428,Guerrero Negro,MX,27.97,27.97,64.38,85,10.27,0
429,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
