,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
179,Makaryev,RU,43.67,57.98,60.87,57,4.72,8
180,Play Cu,VN,108.07,14.07,75.09,100,5.06,76
181,Fairbanks,US,-144.69,66.61,82.4,30,8.05,75
182,Faanui,PF,-151.79,-15.53,80.31,100,15.41,56
183,Punta Arenas,CL,-83.6,-53.84,39.72,100,25.86,36
184,Kutahya,TR,30.0,39.22,54.21,99,2.71,88
185,Eureka,US,-128.48,41.15,59.16,99,17.13,0
186,Georgetown,SH,-13.75,-10.08,76.35,100,16.58,48
187,Kapaa,US,-177.17,32.09,68.16,100,18.59,56
188,Bluff,NZ,157.75,-72.79,-60.27,0,6.91,0
189,Mahuva,IN,71.77,21.0,83.82,100,10.83,12
190,Taolanaro,MG,54.83,-43.6,41.07,100,24.4,56
191,Kupang,ID,122.06,-12.88,82.47,96,20.83,0
192,Vaini,TO,-173.31,-40.73,55.38,100,17.09,88
193,Albany,AU,124.47,-60.56,31.35,100,16.08,0
194,Taolanaro,MG,49.34,-28.58,68.34,100,11.61,92
195,Barrhead,CA,-114.48,54.14,77.43,51,6.51,24
196,Esperance,AU,124.88,-32.76,60.42,95,8.93,0
197,Victoria,SC,59.67,-0.75,77.16,100,7.85,64
198,Bredasdorp,ZA,20.38,-60.76,29.82,100,20.67,92
199,Cabo San Lucas,MX,-114.81,20.01,73.92,100,9.04,0
200,Punta Arenas,CL,-91.78,-86.41,-30.93,40,13.96,24
201,Ancud,CL,-106.33,-40.4,56.64,94,14.56,92
202,Ushuaia,AR,-68.09,-81.78,-30.03,48,9.15,8
203,Cherskiy,RU,160.45,77.27,31.17,100,1.77,36
204,Karistos,GR,24.62,38.12,64.4,82,4.7,20
205,Kapaa,US,-168.57,19.6,79.77,100,11.32,12
206,Kavieng,PG,151.66,0.25,84.0,100,4.0,8
207,Dikson,RU,69.3,86.24,30.9,100,14.07,68
208,Karpathos,GR,28.78,33.57,75.27,100,6.06,0
209,Arraial Do Cabo,BR,-23.55,-50.64,36.21,100,10.09,0
210,La Ronge,CA,-103.91,65.46,38.82,88,4.05,12
211,Umm Lajj,SA,37.76,23.9,95.0,24,16.11,0
212,Barrow,US,-152.33,73.02,31.62,100,11.88,44
213,Atuona,PF,-137.02,4.31,81.84,100,16.87,92
214,Kapaa,US,-166.53,29.71,70.05,100,19.44,20
215,Chuy,UY,-33.15,-51.79,36.03,94,28.5,8
216,Yellowknife,CA,-112.34,82.97,31.89,100,12.95,80
217,Ksenyevka,RU,118.6,54.34,65.91,62,3.56,0
218,Mundwa,IN,73.47,26.92,92.91,39,9.04,0
219,Rikitea,PF,-104.34,-30.3,65.46,100,20.38,92
220,Kendari,ID,124.97,-2.78,77.97,100,8.14,88
221,Nobres,BR,-55.93,-14.88,77.34,62,1.59,88
222,Albany,AU,119.31,-34.55,58.35,100,5.5,92
223,Bartica,GY,-60.7,6.08,70.95,94,1.99,80
224,Esperance,AU,123.95,-33.22,61.32,75,8.86,0
225,Zhezkazgan,KZ,65.78,47.72,81.57,28,17.47,100
226,Cayenne,GF,-48.11,9.62,79.86,100,19.82,88
227,Tommot,RU,126.91,59.53,59.16,72,5.35,68
228,Albany,AU,107.98,-84.93,-48.21,0,10.94,12
229,Turukhansk,RU,88.32,65.15,62.67,77,13.33,92
230,Baoro,CF,16.03,5.78,65.37,96,3.04,76
231,Taolanaro,MG,67.35,-74.28,-23.55,58,19.15,0
232,Jamestown,SH,-8.87,-19.86,69.96,100,12.33,92
233,Busselton,AU,85.51,-51.68,38.19,100,33.46,88
234,Bambous Virieux,MU,84.9,-30.63,67.71,98,19.1,0
235,Hay River,CA,-119.7,62.08,76.89,48,5.79,0
236,Yellowknife,CA,-111.07,84.58,31.98,100,13.89,88
237,Albany,AU,122.23,-44.82,47.64,100,12.44,44
238,Illoqqortoormiut,GL,-21.1,74.44,23.34,82,2.37,12
239,Husavik,IS,-13.79,70.88,40.71,89,24.4,92
240,Attawapiskat,CA,-81.88,56.06,32.79,93,15.9,80
241,Barentsburg,SJ,-0.93,84.28,31.8,99,4.79,68
242,Avarua,CK,-162.55,-50.65,45.66,100,24.14,92
243,Bahia Honda,CU,-84.53,24.26,83.64,100,4.23,0
244,Morant Bay,JM,-75.29,17.12,81.75,99,20.94,56
245,Kariba,ZW,28.83,-16.63,58.89,90,3.11,20
246,Saint George,BM,-56.12,26.44,78.78,100,11.1,8
247,Hobart,AU,155.29,-50.98,46.56,100,24.96,48
248,Airai,PW,138.87,16.9,84.27,100,13.56,36
249,Samalaeulu,WS,-166.6,-4.0,82.83,100,14.79,8
250,Bluff,NZ,156.62,-81.17,-15.72,57,6.58,48
251,Albany,AU,119.88,-35.38,58.26,100,8.63,0
252,Vaini,TO,-177.63,-29.25,68.52,100,22.95,44
253,Taolanaro,MG,59.42,-64.86,14.25,83,14.45,80
254,Hermanus,ZA,15.61,-49.3,40.17,100,34.14,92
255,Kongolo,CD,27.64,-5.49,73.83,62,2.71,76
256,Sao Filipe,CV,-33.8,11.27,75.54,100,15.57,92
257,Hermanus,ZA,13.65,-63.26,27.84,97,18.14,80
258,Ust-Kulom,RU,53.28,61.74,61.41,83,6.35,48
259,Hermanus,ZA,-7.09,-85.93,-57.93,0,23.58,0
260,Souillac,MU,73.74,-48.53,37.74,100,20.67,88
261,Belushya Guba,RU,53.2,75.02,36.12,95,3.0,12
262,Albany,AU,90.55,-89.98,-49.92,0,3.89,36
263,Aloleng,PH,119.2,16.1,81.3,100,7.29,8
264,Develi,TR,35.21,38.05,50.97,94,1.77,20
265,Corinto,NI,-88.19,10.78,82.56,100,1.59,0
266,Bafq,IR,54.99,31.85,80.6,13,2.24,0
267,Kavaratti,IN,63.74,8.29,83.28,96,20.33,0
268,Sao Joao Da Barra,BR,-34.82,-25.7,70.86,100,15.86,0
269,Beringovskiy,RU,178.74,63.85,49.44,92,2.04,8
270,Yellowknife,CA,-115.27,64.38,68.52,43,3.83,92
271,Albany,AU,119.77,-38.64,54.3,100,7.52,80
272,Azangaro,PE,-70.06,-15.15,39.2,64,5.82,0
273,Busselton,AU,87.4,-74.88,-52.98,0,19.22,8
274,Hammerfest,NO,21.27,75.96,35.31,100,8.25,80
275,Nalut,LY,9.15,29.28,72.12,44,9.08,0
276,Marsh Harbour,BS,-74.35,30.04,80.67,97,14.12,0
277,Rikitea,PF,-125.05,-78.96,-14.01,52,25.41,0
278,Iglesias,IT,6.77,39.48,70.77,100,6.06,0
279,Palaikastron,GR,26.49,34.51,75.72,99,0.98,0
280,Ancud,CL,-85.43,-41.47,52.68,98,24.14,92
281,Tumannyy,RU,36.06,74.22,39.54,100,11.1,92
282,Morgan City,US,-91.51,28.49,82.4,83,10.29,75
283,Shirokiy,RU,148.23,65.16,59.79,78,2.82,0
284,Korem,ET,39.28,12.59,52.32,68,1.36,64
285,Pevek,RU,173.86,82.04,32.52,99,21.72,76
286,Bethel,US,-157.36,58.61,55.38,54,9.17,75
287,Yangjiang,CN,112.74,19.92,79.32,100,14.34,80
288,Georgetown,SH,-15.93,-13.88,73.38,100,18.7,68
289,Khatanga,RU,107.85,84.74,31.71,100,9.86,80
290,Shchelyayur,RU,53.19,65.74,59.16,60,8.75,56
291,Tiksi,RU,127.69,79.56,31.62,100,13.4,68
292,Mataura,PF,-148.2,-58.42,28.29,100,40.85,36
293,Hilo,US,-148.11,25.4,75.18,100,15.08,20
294,Taolanaro,MG,49.26,-39.66,53.49,100,27.72,12
295,Barrow,US,-158.36,75.87,31.98,99,18.66,64
296,Hervey Bay,AU,153.95,-24.64,71.04,100,18.54,36
297,Coquimbo,CL,-83.17,-29.61,62.58,100,13.44,88
298,Rikitea,PF,-137.06,-73.4,19.47,92,29.28,80
299,Afgoye,SO,44.71,2.18,73.92,90,10.38,92
300,Busselton,AU,89.71,-54.82,37.74,90,26.98,92
301,Busselton,AU,81.49,-53.92,33.42,98,16.46,76
302,Tiksi,RU,124.12,87.32,32.34,97,16.8,68
303,Hambantota,LK,84.94,-5.01,82.65,100,0.36,36
304,Geraldton,AU,101.42,-33.03,59.34,100,9.75,24
305,Cidreira,BR,-49.23,-31.93,63.21,100,28.1,0
306,Mataura,PF,-151.62,-73.62,23.34,96,34.47,92
307,Ushuaia,AR,-61.55,-60.47,27.39,100,19.71,76
308,Hobart,AU,150.92,-51.88,45.21,96,22.35,32
309,Busselton,AU,94.02,-43.37,53.67,93,35.48,92
310,Antofagasta,CL,-77.61,-23.28,63.57,100,25.41,0
311,Mataura,PF,-147.15,-36.76,59.61,100,15.46,92
312,Tautira,PF,-145.46,-14.68,81.12,100,18.14,80
313,Cap Malheureux,MU,56.79,-16.61,77.16,100,15.41,36
314,Tidore,ID,125.79,-1.08,77.61,100,2.77,88
315,Arraial Do Cabo,BR,-37.62,-29.37,70.14,93,25.97,20
316,Severo-Kurilsk,RU,164.02,34.86,71.58,98,14.18,80
317,Tasiilaq,GL,-36.42,78.98,11.82,72,8.93,0
318,Rikitea,PF,-120.74,-57.62,40.44,89,28.61,92
319,Hithadhoo,MV,71.9,-0.98,82.29,100,6.29,24
320,Carnarvon,AU,111.67,-26.88,70.77,100,16.46,24
321,Albany,AU,107.44,-81.4,-57.75,0,14.07,12
322,Vostok,RU,146.31,50.27,42.96,99,11.39,92
323,Bilibino,RU,164.23,65.89,61.32,58,2.26,68
324,Vestmanna,FO,-8.19,66.34,44.49,94,14.07,80
325,Broken Hill,AU,140.0,-30.53,58.71,58,6.73,0
326,Kaitangata,NZ,179.87,-80.98,-24.36,72,10.54,20
327,Cape Town,ZA,7.0,-49.47,37.02,100,10.94,80
328,Nuevo Progreso,MX,-94.95,23.52,83.37,99,16.46,0
329,Payo,PH,129.04,18.54,85.08,96,13.67,36
330,Ribeira Grande,PT,-30.88,34.9,74.55,100,5.12,36
331,Niamey,NE,2.15,13.63,82.4,65,10.29,0
332,Atuona,PF,-135.68,-0.23,81.12,98,17.36,80
333,Saskylakh,RU,116.73,83.92,31.71,100,9.82,64
334,Thompson,CA,-92.75,70.17,32.97,93,13.29,64
335,Bredasdorp,ZA,24.08,-88.25,-61.17,0,7.29,0
336,Jamestown,SH,-15.5,-29.5,67.35,99,18.37,12
337,Zyryanka,RU,151.8,65.88,81.57,21,5.61,0
338,Mataura,PF,-155.73,-45.04,50.52,100,13.4,56
339,Khatanga,RU,101.47,75.74,47.55,100,7.52,0
340,Chuy,UY,-38.48,-49.55,42.24,93,33.64,92
341,Rocha,UY,-46.89,-41.96,51.6,100,41.07,56
342,Puerto Ayora,EC,-105.41,-25.28,70.14,100,23.73,24
343,Vila Velha,BR,-23.12,-30.94,66.18,97,14.29,64
344,Torbay,CA,-50.11,39.66,71.94,88,25.37,48
345,Terra Nova,BR,-40.93,-12.3,64.56,95,5.35,92
346,Hithadhoo,MV,80.41,-7.51,82.74,97,2.21,44
347,Ossora,RU,162.02,58.84,43.86,97,2.26,0
348,San Rafael,AR,-68.4,-34.39,31.26,68,4.72,12
349,Punta Arenas,CL,-83.71,-69.02,-0.69,89,9.37,20
350,Castro,CL,-102.73,-52.18,43.68,96,22.95,48
351,Castro,CL,-108.41,-54.12,42.96,97,12.17,76
352,Cayenne,GF,-44.26,10.89,77.97,100,19.37,44
353,Jamestown,SH,0.81,-13.75,70.77,100,16.13,92
354,Jamestown,SH,-11.1,-18.63,70.14,100,14.63,92
355,Namwala,ZM,26.87,-15.83,54.21,95,6.06,24
356,Hasaki,JP,150.98,33.86,73.92,95,20.45,80
357,Georgetown,SH,-20.41,-9.74,78.24,100,20.11,8
358,Arlit,NE,9.15,21.44,80.94,37,12.62,0
359,Belushya Guba,RU,57.34,78.69,32.16,96,5.28,48
360,Bonavista,CA,-45.71,51.33,46.47,92,21.72,88
361,Codrington,AG,-59.56,21.68,79.77,100,14.56,80
362,Vaitupu,WF,-174.44,-6.83,83.1,100,12.84,48
363,Padang,ID,91.72,-8.64,75.27,100,6.85,92
364,Yellowknife,CA,-105.28,69.37,41.0,75,6.93,75
365,Pevek,RU,173.37,84.37,32.07,100,23.17,64
366,Punta Arenas,CL,-101.38,-87.53,-35.16,47,14.63,48
367,Albany,AU,101.9,-80.09,-63.87,0,14.07,12
368,Punta Arenas,CL,-116.79,-74.04,10.47,92,31.9,92
369,Qaanaaq,GL,-90.04,79.74,30.99,99,1.21,92
370,Mahanoro,MG,48.91,-20.09,74.82,100,9.75,92
371,Ushuaia,AR,-53.39,-77.45,-25.44,38,5.23,0
372,Illoqqortoormiut,GL,-18.03,88.9,31.35,100,6.91,56
373,Hovd,MN,101.43,41.79,90.03,22,11.32,44
374,Tarhunah,LY,13.73,32.43,71.6,73,3.36,20
375,Georgetown,SH,-20.92,-14.73,74.19,100,16.87,80
376,Champerico,GT,-94.61,10.0,81.12,100,9.26,68
377,Atuona,PF,-125.35,-10.37,78.33,100,20.22,32
378,Egvekinot,RU,-177.77,67.01,58.53,31,7.74,0
379,Mehamn,NO,29.74,85.88,31.44,100,22.17,68
380,Karaul,RU,81.75,70.01,62.49,82,17.81,0
381,Camacha,PT,-15.12,36.09,64.92,100,11.32,80
382,Rocha,UY,-51.98,-36.87,56.91,100,35.93,36
383,Seredka,RU,28.11,57.96,66.2,77,11.18,92
384,Hambantota,LK,82.89,2.53,80.85,100,9.53,36
385,Puerto Ayora,EC,-104.72,-3.8,76.71,100,19.15,64
386,Busselton,AU,98.33,-56.83,36.3,88,30.0,92
387,Ushuaia,AR,-48.77,-88.12,-54.69,0,15.19,0
388,Nieuw Amsterdam,SR,-55.66,7.8,79.05,100,8.63,20
389,Barrow,US,-162.22,75.44,32.07,99,18.92,80
390,Saint-Philippe,RE,74.62,-77.08,-47.49,0,19.6,0
391,Khingansk,RU,131.15,49.37,65.19,75,3.11,48
392,Tasiilaq,GL,-36.88,87.95,31.26,100,6.85,88
393,Illoqqortoormiut,GL,-25.47,69.75,14.07,75,0.58,0
394,Albany,AU,93.78,-77.07,-77.64,0,3.49,20
395,Arraial Do Cabo,BR,-22.68,-39.28,57.54,96,18.1,0
396,Albany,AU,113.75,-78.27,-61.44,0,16.58,24
397,Tasiilaq,GL,-37.48,86.79,31.89,100,11.27,64
398,Geraldton,AU,99.88,-32.88,60.69,100,13.85,56
399,Quelimane,MZ,36.04,-18.22,68.52,85,3.0,92
400,Barrow,US,-160.99,73.29,32.34,98,13.18,80
401,Ushuaia,AR,-74.82,-81.86,-12.12,56,21.72,0
402,Salalah,OM,56.97,15.85,81.57,97,26.15,0
403,Nizhneyansk,RU,139.17,86.74,31.98,99,17.81,76
404,Puerto Ayora,EC,-97.39,-1.8,75.27,100,15.57,64
405,Mahibadhoo,MV,72.12,4.04,75.9,100,11.83,88
406,Kaeo,NZ,175.7,-26.9,68.61,100,18.21,80
407,Bluff,NZ,159.3,-87.55,-43.53,71,14.79,8
408,Jamestown,SH,3.04,-22.42,67.53,100,14.18,0
409,Newport,US,-126.79,44.71,58.62,100,13.85,92
410,Neyveli,IN,79.38,11.58,84.45,62,6.06,44
411,Kahului,US,-149.92,36.78,65.64,100,8.14,12
412,Pevek,RU,171.2,69.0,57.99,61,3.27,0
413,Kloulklubed,PW,135.35,4.07,83.64,100,0.47,12
414,Sheridan,US,-107.68,45.18,63.75,66,1.1,80
415,Dikson,RU,81.17,80.72,31.89,100,13.78,48
416,Illoqqortoormiut,GL,-23.26,81.65,22.53,79,1.25,20
417,Bethel,US,-164.32,42.73,51.24,100,9.75,80
418,Kapaa,US,-177.87,13.7,81.48,100,9.31,64
419,Jamestown,SH,-9.55,-23.48,68.61,100,3.33,44
420,Jiwani,PK,61.58,23.14,86.52,94,16.58,0
421,Shingu,JP,135.76,31.86,73.02,100,5.35,92
422,Kudahuvadhoo,MV,65.71,2.06,81.48,100,9.75,80
423,Bluff,NZ,153.83,-88.07,-49.29,0,12.44,20
424,Luba,GQ,7.94,1.92,78.15,100,13.67,20
425,Saint Simons,US,-80.27,30.84,82.56,96,13.78,24
